id,user_id,action,entity_type,entity_id,description,metadata_json,ip_address,user_agent,created_at
"450009","120189","CREATE_REPORT","temp_report","330003","762 - Sùng Thị Mua tạo báo cáo công đoạn Gia công, ca A, máy 7, sản phẩm 6486-m","{""machine_no"": ""7"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""6486-m"", ""report_id"": 330003, ""shift"": ""A"", ""tt_ng"": 0, ""tt_ok"": 5600, ""work_date"": ""2026-07-23"", ""worker_code"": ""762"", ""worker_id"": 120189, ""worker_name"": ""Sùng Thị Mua""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 06:27:13"
"450010","30067","LOGIN","user_session","","Đăng nhập thành công","{""device_name"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Sa"", ""role"": ""worker""}","10.26.62.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 06:27:32"
"450011","30067","CREATE_REPORT","temp_report","330004","4342 - Mùi Văn Vặt tạo báo cáo công đoạn Gia công, ca A, máy tay, sản phẩm 6490-l","{""machine_no"": ""tay"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""6490-l"", ""report_id"": 330004, ""shift"": ""A"", ""tt_ng"": 0, ""tt_ok"": 4320, ""work_date"": ""2026-07-23"", ""worker_code"": ""4342"", ""worker_id"": 30067, ""worker_name"": ""Mùi Văn Vặt""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 06:32:20"
"450012","30074","LOGIN","user_session","","Đăng nhập thành công","{""device_name"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Sa"", ""role"": ""worker""}","10.26.62.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 06:34:01"
"450013","30074","CREATE_REPORT","temp_report","330005","4360 - Xồng Y hiền tạo báo cáo công đoạn Gia công, ca A, máy 2, sản phẩm 8234","{""machine_no"": ""2"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""8234"", ""report_id"": 330005, ""shift"": ""A"", ""tt_ng"": 0, ""tt_ok"": 4000, ""work_date"": ""2026-07-23"", ""worker_code"": ""4360"", ""worker_id"": 30074, ""worker_name"": ""Xồng Y hiền""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 06:36:37"
"450014","30042","LOGIN","user_session","","Đăng nhập thành công","{""device_name"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Sa"", ""role"": ""worker""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 06:37:23"
"450015","2","TEMP_REPORT_UPDATED","temp_report","330005","Cập nhật báo cáo chờ duyệt #330005","{""changed_fields"": [""work_date"", ""total_time"", ""actual_time"", ""deduction_time"", ""standard_output"", ""actual_output"", ""tt_ng""], ""deductions_changed"": true, ""defects_changed"": true, ""reason"": null}","","","2026-07-24 06:41:17"
"450016","2","LOGIN","user_session","","Đăng nhập thành công","{""device_name"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Sa"", ""role"": ""manager""}","10.26.62.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 06:46:03"
"450017","30042","LOGIN","user_session","","Đăng nhập thành công","{""device_name"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Sa"", ""role"": ""worker""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 06:54:20"
"450018","4","LOGIN","user_session","","Đăng nhập thành công","{""device_name"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Vers"", ""role"": ""lead""}","10.26.62.130","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-07-24 06:59:45"
"450019","30042","CREATE_REPORT","temp_report","330006","4017 - Đinh Thị Nga tạo báo cáo công đoạn Gia công, ca A, máy 3, sản phẩm 3880","{""machine_no"": ""3"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""3880"", ""report_id"": 330006, ""shift"": ""A"", ""tt_ng"": 154, ""tt_ok"": 3840, ""work_date"": ""2026-07-23"", ""worker_code"": ""4017"", ""worker_id"": 30042, ""worker_name"": ""Đinh Thị Nga""}","10.27.66.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 07:01:09"
"450020","120183","LOGIN","user_session","","Đăng nhập thành công","{""device_name"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Sa"", ""role"": ""worker""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 07:01:58"
"450021","120183","CREATE_REPORT","temp_report","330007","646 - Lò Thị Duyên tạo báo cáo công đoạn Gia công, ca A, máy 15, sản phẩm 9740","{""machine_no"": ""15"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""9740"", ""report_id"": 330007, ""shift"": ""A"", ""tt_ng"": 32, ""tt_ok"": 3750, ""work_date"": ""2026-07-23"", ""worker_code"": ""646"", ""worker_id"": 120183, ""worker_name"": ""Lò Thị Duyên""}","10.27.66.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-24 07:08:00"
"450022","2","REPORT_APPROVED","approved_report","420002","Duyệt báo cáo tạm #330004 thành báo cáo chính thức #420002","{""approved_report_id"": 420002, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 330004, ""work_date"": ""2026-07-23T00:00:00.000Z"", ""worker_id"": 30067}","","","2026-07-24 07:08:29"
"450023","2","REPORT_APPROVED","approved_report","420003","Duyệt báo cáo tạm #330007 thành báo cáo chính thức #420003","{""approved_report_id"": 420003, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 330007, ""work_date"": ""2026-07-23T00:00:00.000Z"", ""worker_id"": 120183}","","","2026-07-24 07:08:31"
"450024","2","REPORT_APPROVED","approved_report","420004","Duyệt báo cáo tạm #330006 thành báo cáo chính thức #420004","{""approved_report_id"": 420004, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 330006, ""work_date"": ""2026-07-23T00:00:00.000Z"", ""worker_id"": 30042}","","","2026-07-24 07:08:33"
"450025","2","REPORT_APPROVED","approved_report","420005","Duyệt báo cáo tạm #330003 thành báo cáo chính thức #420005","{""approved_report_id"": 420005, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 330003, ""work_date"": ""2026-07-23T00:00:00.000Z"", ""worker_id"": 120189}","","","2026-07-24 07:08:34"
"450026","2","REPORT_APPROVED","approved_report","420006","Duyệt báo cáo tạm #330005 thành báo cáo chính thức #420006","{""approved_report_id"": 420006, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 330005, ""work_date"": ""2026-07-23T00:00:00.000Z"", ""worker_id"": 30074}","","","2026-07-24 07:08:36"
"450027","2","LOGIN","user_session","","Đăng nhập thành công","{""device_name"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Vers"", ""role"": ""manager""}","10.28.112.130","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-07-24 07:26:24"
