id,user_id,action,entity_type,entity_id,description,metadata_json,ip_address,user_agent,created_at
"180013","2","REPORT_APPROVED","approved_report","210014","Duyệt báo cáo tạm #18 thành báo cáo chính thức #210014","{""approved_report_id"": 210014, ""process_id"": 1, ""shift"": ""C"", ""temp_report_id"": 18, ""work_date"": ""2026-07-13T00:00:00.000Z"", ""worker_id"": 4}","","","2026-07-21 05:06:38"
"180014","2","REPORT_APPROVED","approved_report","210015","Duyệt báo cáo tạm #8 thành báo cáo chính thức #210015","{""approved_report_id"": 210015, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 8, ""work_date"": ""2026-07-13T00:00:00.000Z"", ""worker_id"": 2}","","","2026-07-21 05:06:39"
"210001","60001","CREATE_REPORT","temp_report","150002","1111 - aaaa tạo báo cáo công đoạn Gia công, ca C, máy c0575, sản phẩm c0575","{""machine_no"": ""c0575"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""c0575"", ""report_id"": 150002, ""shift"": ""C"", ""tt_ng"": 4, ""tt_ok"": 12000, ""work_date"": ""2026-07-21"", ""worker_code"": ""1111"", ""worker_id"": 60001, ""worker_name"": ""aaaa""}","10.28.121.2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) ktc-production-control-desktop/1.1.1 Chrome/138.0.7204.251 Electron/37.10.3 Safari/537.36","2026-07-21 08:06:55"
"210002","2","REPORT_APPROVED","approved_report","240002","Duyệt báo cáo tạm #150002 thành báo cáo chính thức #240002","{""approved_report_id"": 240002, ""process_id"": 1, ""shift"": ""C"", ""temp_report_id"": 150002, ""work_date"": ""2026-07-21T00:00:00.000Z"", ""worker_id"": 60001}","","","2026-07-21 08:07:25"
"240001","6","CREATE_REPORT","temp_report","180002","1001 - Nguyễn Văn An tạo báo cáo công đoạn Gia công, ca B, máy c0575, sản phẩm 5243-l","{""machine_no"": ""c0575"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""5243-l"", ""report_id"": 180002, ""shift"": ""B"", ""tt_ng"": 0, ""tt_ok"": 0, ""work_date"": ""2026-07-21"", ""worker_code"": ""1001"", ""worker_id"": 1, ""worker_name"": ""Nguyễn Văn An""}","10.28.121.2","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-07-21 10:08:49"
"270001","6","CREATE_REPORT","temp_report","210002","1001 - Nguyễn Văn An tạo báo cáo công đoạn Gia công, ca A, máy c0977, sản phẩm c0575","{""machine_no"": ""c0977"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""c0575"", ""report_id"": 210002, ""shift"": ""A"", ""tt_ng"": 27, ""tt_ok"": 12000, ""work_date"": ""2026-07-21"", ""worker_code"": ""1001"", ""worker_id"": 1, ""worker_name"": ""Nguyễn Văn An""}","10.27.202.2","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-07-21 10:23:35"
"270002","2","REPORT_APPROVED","approved_report","270002","Duyệt báo cáo tạm #180002 thành báo cáo chính thức #270002","{""approved_report_id"": 270002, ""process_id"": 1, ""shift"": ""B"", ""temp_report_id"": 180002, ""work_date"": ""2026-07-21T00:00:00.000Z"", ""worker_id"": 1}","","","2026-07-21 10:24:39"
"300001","2","REPORT_APPROVED","approved_report","300002","Duyệt báo cáo tạm #210002 thành báo cáo chính thức #300002","{""approved_report_id"": 300002, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 210002, ""work_date"": ""2026-07-21T00:00:00.000Z"", ""worker_id"": 1}","","","2026-07-22 01:37:53"
"300002","60001","CREATE_REPORT","temp_report","240002","1111 - aaaa tạo báo cáo công đoạn Gia công, ca C, máy c0575, sản phẩm c0575","{""machine_no"": ""c0575"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""c0575"", ""report_id"": 240002, ""shift"": ""C"", ""tt_ng"": 3, ""tt_ok"": 12000, ""work_date"": ""2026-07-22"", ""worker_code"": ""1111"", ""worker_id"": 60001, ""worker_name"": ""aaaa""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-22 01:43:59"
"330001","2","REPORT_APPROVED","approved_report","330002","Duyệt báo cáo tạm #240002 thành báo cáo chính thức #330002","{""approved_report_id"": 330002, ""process_id"": 1, ""shift"": ""C"", ""temp_report_id"": 240002, ""work_date"": ""2026-07-22T00:00:00.000Z"", ""worker_id"": 60001}","","","2026-07-22 01:52:51"
"330002","60001","CREATE_REPORT","temp_report","270002","1111 - aaaa tạo báo cáo công đoạn Gia công, ca D, máy c2453, sản phẩm c2401","{""machine_no"": ""c2453"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""c2401"", ""report_id"": 270002, ""shift"": ""D"", ""tt_ng"": 0, ""tt_ok"": 13000, ""work_date"": ""2026-07-22"", ""worker_code"": ""1111"", ""worker_id"": 60001, ""worker_name"": ""aaaa""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-22 02:15:50"
"360001","2","TEMP_REPORT_UPDATED","temp_report","270002","Cập nhật báo cáo chờ duyệt #270002","{""changed_fields"": [""work_date"", ""total_time"", ""actual_time"", ""deduction_time"", ""standard_output"", ""actual_output"", ""tt_ng""], ""deductions_changed"": true, ""defects_changed"": true, ""reason"": null}","","","2026-07-22 02:43:34"
"360002","2","REPORT_APPROVED","approved_report","360002","Duyệt báo cáo tạm #270002 thành báo cáo chính thức #360002","{""approved_report_id"": 360002, ""process_id"": 1, ""shift"": ""D"", ""temp_report_id"": 270002, ""work_date"": ""2026-07-22T00:00:00.000Z"", ""worker_id"": 60001}","","","2026-07-22 02:45:43"
"390001","120233","CREATE_REPORT","temp_report","300002","k160 - Bạch Nhữ Uyển Vy - 160 tạo báo cáo công đoạn Gia công, ca C, máy 11, sản phẩm 5243-l","{""machine_no"": ""11"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""5243-l"", ""report_id"": 300002, ""shift"": ""C"", ""tt_ng"": 0, ""tt_ok"": 12000, ""work_date"": ""2026-07-22"", ""worker_code"": ""k160"", ""worker_id"": 120233, ""worker_name"": ""Bạch Nhữ Uyển Vy - 160""}","10.28.112.130","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-07-22 09:48:22"
"390002","30060","CREATE_REPORT","temp_report","300003","4173 - Mùi Văn Thanh tạo báo cáo công đoạn Gia công, ca C, máy c11, sản phẩm C2556-auto","{""machine_no"": ""c11"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""C2556-auto"", ""report_id"": 300003, ""shift"": ""C"", ""tt_ng"": 18, ""tt_ok"": 29982, ""work_date"": ""2026-07-22"", ""worker_code"": ""4173"", ""worker_id"": 30060, ""worker_name"": ""Mùi Văn Thanh""}","10.26.62.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-22 09:53:03"
"390003","30060","CREATE_REPORT","temp_report","300004","4173 - Mùi Văn Thanh tạo báo cáo công đoạn Gia công, ca C, máy c7, sản phẩm c5770","{""machine_no"": ""c7"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""c5770"", ""report_id"": 300004, ""shift"": ""C"", ""tt_ng"": 24, ""tt_ok"": 39976, ""work_date"": ""2026-07-22"", ""worker_code"": ""4173"", ""worker_id"": 30060, ""worker_name"": ""Mùi Văn Thanh""}","10.27.66.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-22 09:55:35"
"390004","30060","CREATE_REPORT","temp_report","300005","4173 - Mùi Văn Thanh tạo báo cáo công đoạn Gia công, ca C, máy c6, sản phẩm c5770","{""machine_no"": ""c6"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""c5770"", ""report_id"": 300005, ""shift"": ""C"", ""tt_ng"": 40, ""tt_ok"": 39960, ""work_date"": ""2026-07-22"", ""worker_code"": ""4173"", ""worker_id"": 30060, ""worker_name"": ""Mùi Văn Thanh""}","10.27.66.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-22 09:57:19"
"390005","30013","CREATE_REPORT","temp_report","300006","2959 - Mùi Văn Chường tạo báo cáo công đoạn Gia công, ca C, máy 9, sản phẩm c0575","{""machine_no"": ""9"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""c0575"", ""report_id"": 300006, ""shift"": ""C"", ""tt_ng"": 12, ""tt_ok"": 5508, ""work_date"": ""2026-07-22"", ""worker_code"": ""2959"", ""worker_id"": 30013, ""worker_name"": ""Mùi Văn Chường""}","10.28.112.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-22 09:59:22"
"390006","30061","CREATE_REPORT","temp_report","300007","4185 - Vàng Văn Hạnh tạo báo cáo công đoạn Gia công, ca C, máy 2, sản phẩm c0977","{""machine_no"": ""2"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""c0977"", ""report_id"": 300007, ""shift"": ""C"", ""tt_ng"": 8, ""tt_ok"": 16460, ""work_date"": ""2026-07-22"", ""worker_code"": ""4185"", ""worker_id"": 30061, ""worker_name"": ""Vàng Văn Hạnh""}","10.26.62.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-22 10:02:54"
"390007","2","REPORT_APPROVED","approved_report","390002","Duyệt báo cáo tạm #300004 thành báo cáo chính thức #390002","{""approved_report_id"": 390002, ""process_id"": 1, ""shift"": ""C"", ""temp_report_id"": 300004, ""work_date"": ""2026-07-22T00:00:00.000Z"", ""worker_id"": 30060}","","","2026-07-22 10:03:25"
